"ISBN";"Anzahl";"Titel";"publisher";"E-Preis";;
"978-3-518-43226-6";1;"Das Narrenschiff";" Hein, Christoph SUHRKAMP";"28,00 €";;"28,00 €"
"978-3-522-18673-5";1;"Kleine Lesehelden: Hörbe mit dem großen Hut";" Preußler, Otfried (Prof";"9,99 €";;"9,99 €"
"978-3-522-18859-3";2;"Das große Geschichtenfest";" THIENEMANN VERLAG GMBH S";"25,00 €";;"50,00 €"
"978-3-522-20406-4";1;"Momo";" Ende, Michael THIENEMANN";"15,00 €";;"15,00 €"
"978-3-522-45948-8";2;"Dr. Brumms verrückte Woche";" Napp, Daniel THIENEMANN ";"20,00 €";;"40,00 €"
"978-3-522-50956-5";1;"Winona und der Ruf der Wiccas";" Teichert, Mina THIENEMAN";"16,00 €";;"16,00 €"
"978-3-522-90000-3";1;"Velvet Falls, but the Gods forgot to die";" Dippel, Julia THIENEMANN";"24,00 €";;"24,00 €"
"978-3-548-07047-6";1;"25 letzte Sommer";" Schäfer, Stephan ULLSTE";"15,00 €";;"15,00 €"
"978-3-550-20177-6";2;"Organisch";" Enders, Giulia ULLSTEIN ";"24,99 €";;"49,98 €"
"978-3-551-17347-8";1;"Alle putzen Zähne!";" Klever, Elsa CARLSEN VER";"9,00 €";;"9,00 €"
"978-3-551-19154-0";1;"Mach deinen Medienführerschein: Dein großes Mitmachbuch";" Feibel, Thomas CARLSEN V";"7,99 €";;"7,99 €"
"978-3-551-19253-0";1;"Mein Mutmach-Mitmachbuch";" Imlau, Nora CARLSEN VERL";"8,99 €";;"8,99 €"
"978-3-551-25404-7";1;"Die schönsten Weihnachtslieder";" CARLSEN VERLAG GMBH HAMB";"12,00 €";;"12,00 €"
"978-3-551-28072-5";1;"Marvel: Das große silberne Spidey-Buch";" Disney, Walt CARLSEN VER";"28,00 €";;"28,00 €"
"978-3-551-52233-7";1;"Drachenstarke Weihnachtsnacht";" Gemmel, Stefan CARLSEN V";"13,00 €";;"13,00 €"
"978-3-551-52319-8";1;"Der Tag, an dem Max dreimal ins Auto gekotzt hat";" Kling, Marc-Uwe CARLSEN ";"12,00 €";;"12,00 €"
"978-3-551-55757-5";1;"Jakob und Jelena";" Bach, Tamara CARLSEN VER";"15,00 €";;"15,00 €"
"978-3-551-55953-1";3;"Wir Jungs vom Prinzenpark";" Schröder, Dennis/Tielma";"15,00 €";;"45,00 €"
"978-3-551-58640-7";1;"Stadt der Magier und Diebe";" Mohr, Judith CARLSEN VER";"15,00 €";;"15,00 €"
"978-3-551-65737-4";3;"Die Schule der magischen Tiere ermittelt Neuausgabe 7:";"Auer, Margit";"9,00 €";;"27,00 €"
"978-3-551-69126-2";3;"Die Fellfreunde und das Dschungel-Abenteuer";" De Lon, Nora CARLSEN VER";"9,00 €";;"27,00 €"
"978-3-551-69131-6";2;"Wortsalat und Buchstabensuppe";" Neßhöver, Nanna CARLSE";"9,00 €";;"18,00 €"
"978-3-551-69132-3";3;"Weihnachten im Winterschlaf";" Brause, Katalina CARLSEN";"9,00 €";;"27,00 €"
"978-3-551-80749-6";2;"Snoopy und die Peanuts - Das Glück der kleinen Dinge";" Schulz, Charles M CARLSE";"30,00 €";;"60,00 €"
"978-3-552-07574-0";1;"Das Geschenk";" Schoeters, Gaea ZSOLNAY,";"22,00 €";;"22,00 €"
"978-3-596-71151-2";3;"Welcome Home - Du liebst dein neues Zuhause. Hier bist du sicher. Oder?";" Strobel, Arno FISCHER, S";"18,00 €";;"54,00 €"
"978-3-596-71200-7";1;"Yoga Town";" Speck, Daniel FISCHER, S";"18,00 €";;"18,00 €"
"978-3-608-96654-1";2;"Die illustrierten kurzen Antworten auf große Fragen";" Hawking, Stephen COTTA'S";"32,00 €";;"64,00 €"
"978-3-616-03540-6";1;"Der Buchladen am Ende der Welt";" Shaw, Ruth MAIRDUMONT GM";"12,95 €";;"12,95 €"
"978-3-629-01534-1";3;"Allüberall hinter den Tannenspitzen sah ich blutige Klingen blitzen";" PATTLOCH VERLAG GMBH & C";"15,00 €";;"45,00 €"
"978-3-629-01545-7";1;"Wichtel Nisse und das ungeplante Weihnachtswunder";" Ottenschläger, Madlen P";"14,00 €";;"14,00 €"
"978-3-630-87812-6";1;"Der stille Freund";" Schirach, Ferdinand von ";"22,00 €";;"22,00 €"
"978-3-649-63299-3";2;"Advent mit klugen Frauen";" COPPENRATH-VERLAG GMBH &";"12,00 €";;"24,00 €"
"978-3-649-64683-9";2;"Snorri und der Nicht-Geburtstag";" Engler, Michael COPPENRA";"16,00 €";;"32,00 €"
"978-3-649-64848-2";2;"Furzipups und Lulu Lavazunge";" Lüftner, Kai COPPENRATH";"18,00 €";;"36,00 €"
"978-3-649-65094-2";1;"Die kleine Schnullerfee";" Hedlund, Liane COPPENRAT";"13,00 €";;"13,00 €"
"978-3-7106-0896-4";2;"Ein Fest für Gemüse";" Razavi, Parvin CHRISTIAN";"36,00 €";;"72,00 €"
"978-3-7341-0743-6";1;"Dunkles Wasser";" Link, Charlotte BLANVALE";"17,00 €";;"17,00 €"
"978-3-7348-6050-8";2;"Wasser - Wo kommt es her? Wo fließt es hin?";" Fadejewa, Olga MAGELLAN ";"18,00 €";;"36,00 €"
"978-3-7348-6086-7";1;"Familien im Tierreich";" Tecnoscienza MAGELLAN GM";"20,00 €";;"20,00 €"
"978-3-7371-0226-1";1;"Lázár";" Biedermann, Nelio ROWOHL";"24,00 €";;"24,00 €"
"978-3-7408-0203-5";2;"Makrönchen, Mord & Mandelduft";" Pistor, Elke EMONS VERLA";"13,00 €";;"26,00 €"
